ID_W;ID_H;nfm;C5;E1_36B
1994;41004;4;65;
1994;41005;4;70;
1994;41006;4;40;
1994;41007;4;50;
1994;41008;6;43;
1994;41009;5;65;
1994;41010;4;76,3;2
1994;42001;4;34,8;
1994;42002;2;36;
1994;42003;3;59,3;0,25
1994;42004;4;32;
1994;42005;2;36;
1994;42006;3;40;0,5
1994;42007;4;43,5;
1994;42008;2;24;
1994;42009;5;45;
1994;42010;2;60;
1994;43001;2;80;
1994;43002;2;38;
1994;43003;2;59;
1994;43004;4;35,4;
1994;43005;4;64;
1994;43006;3;40;
1994;43007;3;62;
1994;43008;4;54;
1994;43009;4;35;
1994;43010;4;36;
1994;44001;1;44;2
1994;44002;4;46;
1994;44003;5;16;
1994;44004;4;50;
1994;44005;2;40;
1994;44006;4;45;
1994;44007;4;30;
1994;44008;2;28;
1994;44009;3;24;
1994;44010;3;12,21;
1994;45001;3;25;
1994;45002;2;31,5;
1994;45004;5;31,8;
1994;45005;8;28;
1994;45007;4;31,6;1
1994;45008;4;18,3;
1994;45009;4;20;
1994;45010;4;42;0,5
1994;45011;3;31,5;0,3
1994;45012;4;39;0,5
1994;45013;5;41,1;
1994;45014;2;16;
1994;45015;2;19;
1994;45016;2;29,1;
1994;45017;1;18;
1994;45018;2;19,8;
1994;45019;1;19;
1994;45020;3;27;0,3
1994;45021;3;19,8;
1994;45022;3;19;
1994;45023;4;28;
1994;45024;6;60;1
1994;45025;3;30;
1994;45027;3;25;
1994;45028;5;35;
1994;45029;6;55;
1994;45030;5;51,5;1
1994;45031;7;64;2,5
1994;45032;4;71;
1994;45033;4;40,2;1
1994;45035;3;30;
1994;45036;2;31;1
1994;45037;3;31;1
1994;45038;2;17;
1994;45040;3;31;
1994;45041;3;31;0,3
1994;45042;4;31;0,2
1994;45044;4;18;
1994;45045;3;18;
1994;45046;1;14;
1994;45047;1;18;
1994;45048;1;12;
1994;45049;4;18;
1994;45050;1;18;
1994;45051;2;35,7;0,5
1994;45052;5;35;
1994;45053;2;30;0,5
1994;45054;3;42;0,5
1994;45055;3;18;0,4
1994;45057;4;17;0,5
1994;45058;3;17,6;1
1994;45059;3;16,5;
1994;45060;4;37,8;
1994;45061;4;29,7;
1994;45062;3;33;0,3
1994;45063;5;40;1
1994;45064;4;37,8;
1994;45065;1;13;
1994;45066;4;39,7;1,1
1994;45067;1;18;
1994;45068;2;28,7;1,2
1994;45070;7;39;
1994;45071;4;39;
1994;45073;5;56;
1994;45074;3;39,6;
1994;45075;2;28,7;
1994;45076;5;39;1
1994;45077;3;56;1
1994;45078;2;18;1
1994;45079;4;39;0,75
1994;45080;4;51;
1994;45081;2;32;
1994;45082;3;38;
1994;45083;7;51;
1994;45085;3;29;0,4
1994;45086;6;34;1
1994;45087;5;18;
1994;45089;3;18;0,2
1994;45090;4;30;
1994;45091;4;46;
1994;45092;3;35;
1994;45093;5;15;0,3
1994;45094;2;21;
1994;45095;1;19;
1994;45096;3;24;0,5
1994;45097;4;21;
1994;45098;6;28,8;0,5
1994;45099;1;19,2;0,5
1994;45101;1;19,2;
1994;45102;2;28,8;0,3
1994;45103;2;19,2;
1994;45104;3;29,2;
1994;45105;2;29,2;0,3
1994;45106;4;18;
1994;45107;3;29,2;1,2
1994;45108;4;29,8;
1994;46001;4;18;
1994;46002;2;36,1;
1994;46003;3;18;
1994;46004;2;29,8;
1994;46005;2;16;
1994;46006;4;22;
1994;46007;3;30;1,2
1994;46008;2;36,6;0,6
1994;46009;2;17,8;
1994;46010;3;29,6;
1994;46011;2;44,5;
1994;46012;1;18;
1994;46013;2;17,1;
1994;46014;3;17,13;0,5
1994;46015;1;17,2;
1994;46016;2;29;
1994;46017;4;29;
1994;46018;8;27;
1994;46019;1;17;
1994;46020;2;18;
1994;46021;4;26;0,4
1994;46022;3;32,84;
1994;46023;3;34;0,75
1994;46024;1;40;
1994;46025;1;27,06;
1994;46026;4;27,11;
1994;46027;3;18;
1994;46029;1;17;
1994;46031;2;18,7;
1994;46033;6;31;
1994;46034;8;56;0,5
1994;46035;4;33;
1994;46036;2;28;
1994;46037;3;18;
1994;46038;2;27;
1994;46039;1;47;
1994;46040;3;30;
1994;46041;1;54;
1994;46042;1;32;
1994;46043;3;28,1;
1994;46046;4;24;
1994;46047;4;45;
1994;46049;4;44;
1994;46050;3;29,6;
1994;46051;6;44,4;
1994;46052;2;18;
1994;46053;4;44,5;
1994;46054;5;44;0,15
1994;46055;4;28;
1994;46056;7;29;
1994;46057;1;30;
1994;46058;4;48;
1994;46059;4;29,6;
1994;46060;1;17;
1994;46062;6;28;
1994;46063;2;36,2;
1994;46064;1;30;
1994;46065;4;30;
1994;46066;4;30;0,5
1994;46067;4;30;
1994;46068;3;18;
1994;46070;2;19;
1994;46071;4;17,5;
1994;46072;2;17,6;
1994;46073;2;17,52;
1994;46074;2;18,52;
1994;46075;3;18;
1994;46076;3;30;
1994;46077;4;32;
1994;46078;2;32,8;
1994;46080;2;30,5;
1994;46082;2;31;
1994;46083;3;18;
1994;46084;4;30,2;
1994;46085;2;28,5;
1994;46086;3;38,8;
1994;46087;1;32;
1994;46088;4;38,9;
1994;46089;2;17,1;
1994;46090;2;18;
1994;46091;3;18;
1994;46092;2;18;
1994;46093;3;17,13;
1994;46094;3;29;
1994;46095;5;37,6;
1994;46097;4;22;
1994;46098;1;24;
1994;46100;3;18;
1994;46101;3;18;
1994;46105;3;31,6;0,3
1994;46106;4;38;
1994;47001;5;30,05;0,4
1994;47002;4;45,02;0,5
1994;47003;1;27;
1994;47004;4;46;
1994;47005;2;31;
1994;47007;5;45,8;
1994;47008;4;45;
1994;47009;3;45,5;
1994;47010;3;27,4;
1994;47011;3;30,5;
1994;47012;1;30,2;
1994;47013;4;31;
1994;47014;1;30,5;
1994;47015;3;44,5;1
1994;47016;5;38,6;1
1994;47017;3;27,9;0,5
1994;47018;4;38,6;0,6
1994;47019;3;38,29;
1994;47020;4;29;0,5
1994;47021;3;38,6;0,2
1994;47022;3;29;
1994;47023;2;38,64;0,3
1994;47024;4;38,6;0,5
1994;47025;3;29,2;
1994;47026;2;26;
1994;47027;5;45;
1994;47028;4;31;0,3
1994;47030;6;45;0,6
1994;47031;6;43;
1994;47032;1;10,5;0,4
1994;47033;4;48;
1994;47034;6;55;0,6
1994;47035;1;32;
1994;47036;1;40;
1994;47037;2;39;
1994;47038;3;27;
1994;47039;3;16;
1994;47040;3;17,5;0,5
1994;47041;1;17,5;
1994;47042;1;27;
1994;47043;2;45;
1994;47044;2;27,2;
1994;47045;3;17,25;
1994;47046;2;30;
1994;47047;4;45;
1994;47048;4;29;
1994;47049;3;36;0,5
1994;47051;3;33,7;
1994;47052;3;31;
1994;47053;3;17;
1994;47054;5;30;
1994;47055;3;17;
1994;47056;3;17;
1994;47057;5;30;
1994;47058;4;17;
1994;47059;6;30;
1994;47060;4;17;
1994;47061;1;19;
1994;47062;2;32;
1994;47063;2;33;
1994;47064;3;33;
1994;47065;2;30;
1994;47066;2;45;
1994;47067;2;21;
1994;47068;1;16;
1994;47069;1;33;
1994;47070;1;17,5;
1994;47071;1;21;
1994;47072;2;17,5;0,3
1994;47073;7;45;
1994;47074;2;45;
1994;47075;3;30;
1994;47076;4;30;
1994;47077;4;27,5;
1994;47078;3;27;
1994;47079;2;30;
1994;47080;2;30;
1994;47081;2;45,9;0,3
1994;47082;2;45;
1994;47083;3;31;
1994;47084;2;45;
1994;47085;3;33;
1994;47086;3;45;0,5
1994;47087;2;18;
1994;47088;4;45;
1994;47089;2;31;
1994;47090;1;30;
1994;47092;5;33;
1994;47093;3;44,5;
1994;47094;2;32;0,5
1994;47095;4;33;
1994;47096;1;48;
1994;47097;10;60;
1994;47098;3;0;
1994;47099;1;40;
1994;47100;1;27;
1994;47101;2;10;
1994;48001;4;60;
1994;48002;2;40;
1994;48003;2;30;
1994;48004;3;28;
1994;48005;2;25,7;
1994;48006;2;18;
1994;48007;6;20;
1994;48008;2;20;
1994;48009;3;33;
1994;48010;2;26;
1994;48011;2;18;
1994;48012;3;38;
1994;48013;3;18;0,3
1994;48014;4;47,8;
1994;48015;4;36;
1994;48016;2;6;
1994;48017;2;0;
1994;48018;2;29;0,5
1994;48019;2;21;0,5
1994;48020;2;25;
1994;48021;3;32;
1994;48022;2;32;
1994;48023;2;32;
1994;48024;2;30,5;
1994;48025;5;32;
1994;48026;2;32;
1994;48027;2;16;
1994;48028;2;32;
1994;48029;4;32;
1994;48030;2;31;0,8
1994;48031;2;52;
1994;48032;1;44;
1994;48033;2;38,5;0,3
1994;48034;1;24,5;
1994;48035;4;36;
1994;48036;4;28;
1994;48037;2;21,58;
1994;48038;1;24;
1994;48039;3;33;1
1994;48040;1;41,36;
1994;48041;3;18;0,5
1994;48042;3;18;
1994;48043;3;18;0,5
1994;48044;4;18;
1994;48045;3;18;0,5
1994;48046;3;18;1
1994;48047;4;18;
1994;48048;4;18;
1994;48049;4;18;
1994;48050;4;18;
1994;48051;2;13;
1994;48052;1;14;0,3
1994;48053;1;12;
1994;48054;4;25,6;
1994;48055;4;18;
1994;48056;1;14,4;
1994;48057;6;39,05;
1994;48058;4;39,5;
1994;48059;4;39,05;
1994;48060;3;39;
1994;48061;2;26;
1994;48062;3;20;
1994;48063;3;40;
1994;48064;3;16;
1994;48065;2;38;
1994;48066;2;32;
1994;48067;2;25;
1994;48068;4;86,7;
1994;48069;3;27;
1994;48070;1;36;0,2
1994;49001;8;30;
1994;49002;2;36;
1994;49003;3;74;
1994;49004;1;50;
1994;49005;4;60;
1994;49006;1;40;
1994;49007;3;31;
1994;49008;1;31;
1994;49009;1;70;
